folder_name,file_name,model,mean_input_tokens,mean_output_tokens,concurrent_requests,results_ttft_s_mean,results_inter_token_latency_s_mean,results_end_to_end_latency_s_mean
hicachefile,qwen3_4000_1000_1765885752039_summary.json,qwen3,4000,1000,1,1.1763608749897685,8.23492627563797,9.419750165994628
hicachefile,qwen3_8000_1000_1765885765799_summary.json,qwen3,8000,1000,1,1.7339985229918966,8.324437271709996,10.066909112996655
hicachefile,qwen3_16000_1000_1765885781571_summary.json,qwen3,16000,1000,1,1.9360232860053657,8.566421873101799,10.51116992700554
hicachefile,qwen3_32000_1000_1765886248034_summary.json,qwen3,32000,1000,1,4.705105827000807,9.969313189070524,14.684589147000224
hicachefile,qwen3_4000_1000_1765885800739_summary.json,qwen3,4000,1000,8,1.3569275182526326,9.797529212024443,11.164537331125757
hicachefile,qwen3_8000_1000_1765885826505_summary.json,qwen3,8000,1000,8,1.7328268464989378,11.454392338714092,13.198956705249657
hicachefile,qwen3_16000_1000_1765885863763_summary.json,qwen3,16000,1000,8,3.708376741498796,13.962278283937719,17.680880797999635
hicachefile,qwen3_32000_1000_1765886314074_summary.json,qwen3,32000,1000,8,7.976013027750014,18.508654883170912,26.503478342749077
hicachefile,qwen3_4000_1000_1765885889786_summary.json,qwen3,4000,1000,16,1.6547057441848665,11.802596228559882,13.469380164622635
hicachefile,qwen3_8000_1000_1765885927532_summary.json,qwen3,8000,1000,16,2.7721370083118018,14.125108397520608,16.911670755499472
hicachefile,qwen3_16000_1000_1765885990187_summary.json,qwen3,16000,1000,16,5.535754227626967,19.208470365448363,24.755852889561538
hicachefile,qwen3_32000_1000_1765886433652_summary.json,qwen3,32000,1000,16,12.792555185312267,30.77796019509505,43.589644666625645
hicachefile,qwen3_4000_1000_1765886024332_summary.json,qwen3,4000,1000,24,2.1745157323736444,13.382408556728269,15.569501411999832
hicachefile,qwen3_8000_1000_1765886074463_summary.json,qwen3,8000,1000,24,3.911040466250294,16.61551180397669,20.5405578543329
hicachefile,qwen3_16000_1000_1765886162175_summary.json,qwen3,16000,1000,24,10.269889956292294,23.962086566578634,34.24443436816788
hicachefile,qwen3_32000_1000_1765886605764_summary.json,qwen3,32000,1000,24,17.993012437377427,42.13715843426793,60.14895149512631
